"Deutsch","English"
"hallo","hello"
"auf Wiedersehen","goodbye"
"bitte","please"
"danke","thank you"
"ja","yes"
"nein","no"
"Entschuldigung","excuse me"
"Es tut mir leid","sorry"
"wer","who"
"was","what"
"wo","where"
"wann","when"
"warum","why"
"wie","how"
"sein","be"
"haben","have"
"gehen","go"
"tun machen","do"
"wollen","want"
"mögen","like"
"sehen","see"
"hören","hear"
"sprechen","speak"
"essen","eat"
"trinken","drink"
"schlafen","sleep"
"arbeiten","work"
"leben wohnen","live"
"wissen kennen","know"
"kommen","come"
"heute","today"
"morgen","tomorrow"
"gestern","yesterday"
"Zeit","time"
"Tag","day"
"Woche","week"
"Monat","month"
"Jahr","year"
"Montag","Monday"
"Dienstag","Tuesday"
"Mittwoch","Wednesday"
"Donnerstag","Thursday"
"Freitag","Friday"
"Samstag","Saturday"
"Sonntag","Sunday"
"eins","one"
"zwei","two"
"drei","three"
"vier","four"
"fünf","five"
"sechs","six"
"sieben","seven"
"acht","eight"
"neun","nine"
"zehn","ten"
"Freund","friend"
"Familie","family"
"Mutter","mother"
"Vater","father"
"Kind","child"
"Mann","man"
"Frau","woman"
"Menschen / Leute","people"
"Haus","house"
"Schule","school"
"Zimmer","room"
"Stadt","city"
"Straße","street"
"Geschäft / Laden","shop"
"Auto","car"
"Zug","train"
"Essen","food"
"Wasser","water"
"Brot","bread"
"Kaffee","coffee"
"Tee","tea"
"Milch","milk"
"Obst Frucht","fruit"
"Gemüse","vegetables"
"gut","good"
"schlecht","bad"
"groß","big"
"klein","small"
"neu","new"
"alt","old"
"glücklich","happy"
"traurig","sad"
"schön","beautiful"
"einfach","easy"
"schwierig","difficult"
"heiß","hot"
"kalt","cold"
"rot","red"
"blau","blue"
"grün","green"
"gelb","yellow"
"schwarz","black"
"weiß","white"
"Hilfe","help"
"Geld","money"
"Buch","book"
"Name","name"
"immer","always"
"nie","never"
"manchmal","sometimes"
"oft","often"
"jetzt","now"
"später","later"
"hier","here"
"dort","there"
"überall","everywhere"
"nichts","nothing"
"alles","everything"
"jemand","someone"
"niemand","nobody"
"kaufen","to buy"
"verkaufen","to sell"
"bezahlen","to pay"
"denken","to think"
"finden","to find"
"geben","to give"
"nehmen","to take"
"bringen","to bring"
"lesen","to read"
"schreiben","to write"
"verstehen","to understand"
"lernen","to learn"
"reisen","to travel"
"fahren","to drive"
"fliegen","to fly"
"warten","to wait"
"öffnen","to open"
"schließen","to close"
"helfen","to help"
"benutzen","to use"
"anrufen rufen","to call"
"treffen","to meet"
"fragen","to ask"
"antworten","to answer"
"links","left"
"rechts","right"
"geradeaus","straight ahead"
"nah","near"
"weit","far"
"früh","early"
"spät","late"
"schnell","fast"
"langsam","slow"
"schwer","heavy"
"leicht","light"
"teuer","expensive"
"billig","cheap"
"jung","young"
"sauber","clean"
"schmutzig","dirty"
"beschäftigt","busy"
"müde","tired"
"krank","sick"
"gesund","healthy"
"bereit","ready"
"wichtig","important"
"unterschiedlich","different"
"gleich","same"
"frei kostenlos","free"
"alle","all"
"einige","some"
"viele","many"
"wenige","few"
"mehr","more"
"weniger","less"
"Fleisch","meat"
"Fisch","fish"
"Zucker","sugar"
"Salz","salt"
"Apfel","apple"
"Banane","banana"
"Bier","beer"
"Wein","wine"
"Frühstück","breakfast"
"Mittagessen","lunch"
"Abendessen","dinner"
"Restaurant","restaurant"
"Hotel","hotel"
"Flughafen","airport"
"Bahnhof","station"
"Fahrkarte Ticket","ticket"
"Reisepass","passport"
"Tasche","bag"
"Schlüssel","key"
"Telefon","phone"
"Computer","computer"
"Internet","internet"
"E-Mail","email"
"Arzt","doctor"
"Krankenhaus","hospital"
"Medizin","medicine"
"Wetter","weather"
"Sonne","sun"
"Regen","rain"
"Schnee","snow"
"Wind","wind"
"Meer","sea"
"Fluss","river"
"Tier","animal"
"Hund","dog"
"Katze","cat"
"Vogel","bird"
"Hemd Shirt","shirt"
"Hose","pants"
"Schuhe","shoes"
"Mantel","coat"
"Fenster","window"
"Tür","door"
"Tisch","table"
"Stuhl","chair"
"Bett","bed"
"Papier","paper"
"Stift","pen"
"Beruf Arbeit","job"
"Büro","office"
"Chef","boss"
"Kollege","colleague"
"Firma Unternehmen","company"
"Land","country"
"Welt","world"
"Frage","question"
"Antwort","answer"
"Problem","problem"
"Lösung","solution"
"Nummer Zahl","number"
